T_tick,T_val,H_tick,H_val,TH_tick,TH_val,Dry_tick
0.0,53.5,0.0,3.316406,0.0,74.8,837049.0
11000.0,54.0,3000.0,3.275391,3000.0,74.6,
13360.0,54.1,10000.0,3.408203,10000.0,74.4,
14400.0,54.0,11000.0,3.453125,11000.0,74.3,
15069.0,54.0,13360.0,3.425781,13360.0,74.2,
32069.0,54.6,14400.0,3.425781,14400.0,74.2,
46069.0,54.0,15069.0,3.259766,15069.0,74.2,
46069.0,53.7,32069.0,3.277344,32069.0,73.8,
47069.0,52.3,38069.0,3.330078,38069.0,73.6,
47069.0,52.3,41069.0,3.296875,41069.0,73.5,
48069.0,51.4,44069.0,3.400391,44069.0,73.4,
50069.0,50.9,46069.0,3.435547,46069.0,73.3,
50069.0,50.7,46069.0,3.435547,46069.0,73.3,
51069.0,50.0,47069.0,3.505859,47069.0,73.2,
52069.0,49.1,48069.0,3.421875,48069.0,73.2,
53069.0,48.2,50069.0,3.429688,50069.0,73.1,
54069.0,48.9,50069.0,3.533203,50069.0,73.1,
58069.0,48.4,51069.0,3.615234,51069.0,73.1,
59069.0,46.3,52069.0,3.5,52069.0,73.0,
59069.0,46.3,53069.0,3.388672,53069.0,73.0,
60069.0,44.8,54069.0,3.494141,54069.0,72.9,
60069.0,44.8,57069.0,4.296875,57069.0,72.8,
61069.0,43.8,58069.0,5.851562,58069.0,72.8,
62069.0,42.3,58069.0,5.851562,58069.0,72.8,
62069.0,42.3,59069.0,5.792969,59069.0,72.7,
63069.0,41.7,60069.0,7.925781,60069.0,72.7,
63069.0,41.4,61069.0,10.53125,61069.0,72.6,
64069.0,40.2,62069.0,8.570312,62069.0,72.6,
64069.0,40.2,63069.0,6.394531,63069.0,72.6,
65069.0,39.5,63069.0,6.394531,63069.0,72.6,
66069.0,37.7,63069.0,6.394531,63069.0,72.6,
66069.0,37.7,64069.0,19.21875,64069.0,72.6,
67069.0,36.8,65069.0,11.40625,65069.0,72.5,
68069.0,35.5,66069.0,7.507812,66069.0,72.4,
68069.0,35.4,67069.0,10.726562,67069.0,72.4,
69069.0,34.4,68069.0,10.953125,68069.0,72.3,
69069.0,34.4,69069.0,8.257812,69069.0,72.2,
70069.0,33.4,69069.0,8.257812,69069.0,72.2,
71069.0,32.4,70069.0,7.914062,70069.0,72.2,
72069.0,31.6,71069.0,8.5625,71069.0,72.2,
73069.0,31.1,72069.0,7.738281,72069.0,72.1,
74069.0,30.9,73069.0,7.140625,73069.0,72.1,
75069.0,30.4,73069.0,7.140625,73069.0,72.1,
75069.0,30.2,74069.0,7.058594,74069.0,72.1,
77069.0,29.7,75069.0,7.695312,75069.0,72.0,
77069.0,29.6,75069.0,7.695312,75069.0,72.0,
80069.0,29.0,75069.0,7.695312,75069.0,72.0,
80069.0,29.0,77069.0,7.902344,77069.0,71.9,
82069.0,28.5,77069.0,7.902344,77069.0,71.9,
83069.0,28.4,78069.0,7.210938,78069.0,71.8,
86069.0,27.9,80069.0,7.433594,80069.0,71.8,
86069.0,27.9,80069.0,7.609375,80069.0,71.7,
90069.0,27.4,81069.0,7.003906,81069.0,71.7,
91069.0,27.3,82069.0,6.789062,82069.0,71.6,
95069.0,26.7,83069.0,6.582031,83069.0,71.6,
96069.0,26.6,84069.0,6.203125,84069.0,71.5,
100400.0,26.1,86069.0,6.046875,86069.0,71.4,
104400.0,25.7,86069.0,6.03125,86069.0,71.4,
130409.0,25.8,87069.0,6.347656,87069.0,71.4,
141409.0,26.4,88069.0,6.011719,88069.0,71.3,
142409.0,26.4,89069.0,5.628906,89069.0,71.2,
144409.0,26.9,90069.0,5.917969,90069.0,71.2,
145409.0,27.0,91069.0,5.46875,91069.0,71.1,
147409.0,27.6,91069.0,5.46875,91069.0,71.1,
147409.0,27.6,93069.0,5.101562,93069.0,71.1,
149409.0,28.1,95069.0,5.289062,95069.0,71.0,
150409.0,28.7,96069.0,5.449219,96069.0,70.9,
150409.0,28.7,99069.0,4.910156,99069.0,70.8,
151409.0,29.3,100400.0,4.910156,100400.0,70.8,
152409.0,29.3,101400.0,5.265625,101400.0,70.8,
153409.0,29.9,102400.0,4.855469,102400.0,70.7,
154409.0,29.9,103400.0,4.59375,103400.0,70.6,
156409.0,30.5,104400.0,4.785156,104400.0,70.6,
156409.0,30.5,107400.0,4.707031,107400.0,70.4,
160409.0,31.0,108400.0,5.113281,108400.0,70.4,
189149.0,30.6,111400.0,4.804688,111400.0,70.2,
189249.0,30.6,114400.0,4.613281,114400.0,70.1,
219249.0,30.1,116400.0,4.894531,116400.0,70.1,
222249.0,29.7,117400.0,5.214844,117400.0,70.0,
223249.0,28.0,119400.0,4.921875,119400.0,69.9,
223249.0,28.0,123400.0,4.691406,123400.0,69.7,
224249.0,27.3,125400.0,5.144531,125400.0,69.7,
226249.0,26.8,130409.0,5.1875,130409.0,69.4,
226249.0,26.7,131409.0,6.460938,131409.0,69.4,
227249.0,26.2,132409.0,5.335938,132409.0,69.4,
227249.0,26.1,133409.0,4.539062,133409.0,69.3,
228249.0,25.1,134409.0,4.136719,134409.0,69.2,
228249.0,25.0,136409.0,3.902344,136409.0,69.2,
