T_tick,T_val,H_tick,H_val,TH_tick,TH_val,Phase_tick,Phase_val
,,0.0,2.607422,0.0,74.3,0.0,Loading
,,8000.0,2.677734,8000.0,74.0,14269.0,Prewash
,,11000.0,2.707031,11000.0,73.9,193539.0,Disinfection (Temp/Time)
,,13810.0,2.673828,13810.0,73.8,802039.0,Drying
,,14269.0,2.632812,14269.0,73.8,1463080.0,Unloading
,,26269.0,2.658203,26269.0,73.5,,
,,34269.0,2.791016,34269.0,73.2,,
,,40269.0,2.945312,40269.0,73.1,,
,,42269.0,3.072266,42269.0,73.0,,
,,49269.0,2.951172,49269.0,72.8,,
,,49269.0,2.951172,49269.0,72.8,,
,,50269.0,2.888672,50269.0,72.8,,
,,51269.0,2.927734,51269.0,72.8,,
,,52269.0,2.808594,52269.0,72.7,,
,,55269.0,2.958984,55269.0,72.6,,
,,55269.0,2.958984,55269.0,72.6,,
,,55269.0,2.958984,55269.0,72.6,,
,,56269.0,2.832031,56269.0,72.6,,
,,57269.0,2.757812,57269.0,72.5,,
,,58269.0,2.716797,58269.0,72.5,,
,,59269.0,2.705078,59269.0,72.4,,
,,60269.0,2.681641,60269.0,72.4,,
,,61269.0,2.693359,61269.0,72.4,,
,,62269.0,2.71875,62269.0,72.3,,
,,63269.0,2.705078,63269.0,72.3,,
,,64269.0,2.697266,64269.0,72.2,,
,,65269.0,2.751953,65269.0,72.2,,
,,66269.0,2.777344,66269.0,72.2,,
,,67269.0,2.78125,67269.0,72.1,,
,,68269.0,2.955078,68269.0,72.1,,
,,69269.0,3.046875,69269.0,72.1,,
,,70269.0,2.914062,70269.0,72.0,,
,,71269.0,2.869141,71269.0,72.0,,
,,71269.0,2.869141,71269.0,72.0,,
,,73269.0,3.017578,73269.0,71.9,,
,,73269.0,3.017578,73269.0,71.9,,
,,73269.0,3.017578,73269.0,71.9,,
,,75269.0,3.097656,75269.0,71.9,,
,,76269.0,3.142578,76269.0,71.8,,
,,79269.0,3.201172,79269.0,71.7,,
,,79269.0,3.201172,79269.0,71.7,,
,,83269.0,3.140625,83269.0,71.6,,
,,83269.0,3.140625,83269.0,71.6,,
,,87269.0,3.164062,87269.0,71.4,,
,,87269.0,3.164062,87269.0,71.4,,
,,91269.0,3.150391,91269.0,71.2,,
,,92269.0,3.080078,92269.0,71.2,,
,,95269.0,3.322266,95269.0,71.1,,
,,96269.0,3.271484,96269.0,71.1,,
,,96269.0,3.271484,96269.0,71.1,,
,,100269.0,3.228516,100269.0,70.9,,
,,101269.0,3.28125,101269.0,70.9,,
,,104510.0,3.332031,104510.0,70.8,,
,,117510.0,3.332031,117510.0,70.3,,
,,132510.0,3.378906,132510.0,69.8,,
,,134519.0,3.396484,134519.0,69.7,,
,,135519.0,5.265625,135519.0,69.7,,
,,136519.0,4.464844,136519.0,69.6,,
,,137519.0,4.035156,137519.0,69.6,,
,,139519.0,3.673828,139519.0,69.6,,
,,141679.0,3.46875,141679.0,69.4,,
,,143519.0,3.302734,143519.0,69.4,,
,,150519.0,3.181641,150519.0,69.1,,
,,150519.0,3.181641,150519.0,69.1,,
,,155519.0,3.332031,155519.0,68.9,,
,,156519.0,3.332031,156519.0,68.9,,
,,162519.0,3.347656,162519.0,68.8,,
,,165519.0,3.408203,165519.0,68.6,,
,,176519.0,3.541016,176519.0,68.2,,
,,180519.0,3.583984,180519.0,68.1,,
,,193519.0,3.724609,193519.0,67.7,,
,,193539.0,3.724609,193539.0,67.7,,
,,198539.0,3.976562,198539.0,67.5,,
,,204539.0,4.9375,204539.0,67.3,,
,,205539.0,4.597656,205539.0,67.3,,
,,207539.0,4.347656,207539.0,67.2,,
,,211539.0,4.109375,211539.0,67.1,,
,,219539.0,3.888672,219539.0,66.8,,
,,220539.0,3.888672,220539.0,66.8,,
,,229539.0,3.736328,229539.0,66.6,,
,,229539.0,3.736328,229539.0,66.6,,
,,230539.0,3.755859,230539.0,66.5,,
,,231539.0,3.748047,231539.0,66.5,,
,,233539.0,3.699219,233539.0,66.4,,
,,233539.0,3.699219,233539.0,66.4,,
,,235539.0,3.769531,235539.0,66.4,,
,,236539.0,3.753906,236539.0,66.3,,
,,237539.0,3.712891,237539.0,66.3,,
,,238539.0,3.75,238539.0,66.2,,
,,238539.0,3.75,238539.0,66.2,,
,,239539.0,3.785156,239539.0,66.2,,
,,240539.0,3.791016,240539.0,66.2,,
,,241539.0,3.832031,241539.0,66.2,,
,,241539.0,3.832031,241539.0,66.2,,
,,242539.0,3.802734,242539.0,66.1,,
,,243539.0,3.828125,243539.0,66.1,,
,,244539.0,3.835938,244539.0,66.1,,
,,245539.0,3.833984,245539.0,66.1,,
,,246539.0,3.863281,246539.0,66.0,,
,,247539.0,3.888672,247539.0,66.0,,
,,249539.0,4.015625,249539.0,65.9,,
,,249539.0,4.015625,249539.0,65.9,,
,,251539.0,4.222656,251539.0,65.9,,
,,251679.0,4.222656,251539.0,65.9,,
,,255539.0,4.617188,251679.0,65.9,,
,,257539.0,4.902344,255539.0,65.8,,
,,259539.0,4.882812,257539.0,65.8,,
,,260539.0,4.882812,259539.0,65.6,,
,,261539.0,5.183594,260539.0,65.6,,
,,262539.0,5.332031,261539.0,65.6,,
,,263539.0,5.332031,262539.0,65.5,,
,,264539.0,5.1875,263539.0,65.5,,
,,265539.0,5.027344,264539.0,65.4,,
,,267539.0,5.316406,265539.0,65.4,,
,,267539.0,5.316406,267539.0,65.4,,
,,268539.0,5.316406,267539.0,65.3,,
,,270539.0,5.21875,268539.0,65.3,,
,,271539.0,5.21875,270539.0,65.2,,
,,272539.0,5.53125,271539.0,65.2,,
,,273539.0,5.570312,272539.0,65.2,,
,,273539.0,5.320312,273539.0,65.1,,
,,275539.0,5.246094,273539.0,65.1,,
,,276539.0,5.246094,275539.0,65.1,,
,,278539.0,5.253906,276539.0,65.1,,
,,280539.0,5.25,278539.0,65.0,,
,,280539.0,5.25,280539.0,64.9,,
,,283539.0,5.242188,280539.0,64.9,,
,,284539.0,5.371094,283539.0,64.8,,
,,286539.0,5.363281,284539.0,64.8,,
,,287539.0,5.363281,286539.0,64.7,,
,,289539.0,5.386719,287539.0,64.7,,
,,290539.0,5.386719,289539.0,64.6,,
,,292539.0,5.414062,290539.0,64.6,,
,,292539.0,5.414062,292539.0,64.5,,
,,294539.0,5.546875,292539.0,64.5,,
,,295539.0,5.527344,294539.0,64.5,,
,,297539.0,7.109375,295539.0,64.4,,
,,297539.0,7.109375,297539.0,64.4,,
,,298539.0,7.109375,297539.0,64.4,,
,,299539.0,6.617188,298539.0,64.4,,
,,300539.0,6.078125,299539.0,64.4,,
,,300539.0,5.679688,300539.0,64.3,,
,,301539.0,5.679688,300539.0,64.3,,
,,303539.0,5.464844,301539.0,64.3,,
,,304539.0,5.464844,303539.0,64.2,,
,,306539.0,5.527344,304539.0,64.2,,
,,307539.0,5.527344,306539.0,64.1,,
,,308539.0,6.003906,307539.0,64.1,,
,,309539.0,5.789062,308539.0,64.1,,
,,310539.0,5.789062,309539.0,64.0,,
,,312539.0,5.769531,310539.0,64.0,,
,,313539.0,5.769531,312539.0,63.9,,
,,316539.0,5.527344,313539.0,63.9,,
,,316539.0,5.527344,316539.0,63.9,,
,,318539.0,5.5625,316539.0,63.9,,
,,320539.0,5.484375,318539.0,63.8,,
,,321539.0,5.484375,320539.0,63.8,,
,,324539.0,5.429688,321539.0,63.8,,
,,324539.0,5.421875,324539.0,63.7,,
,,327539.0,5.566406,324539.0,63.6,,
,,328539.0,5.882812,327539.0,63.6,,
,,329539.0,5.761719,328539.0,63.6,,
,,330539.0,5.761719,329539.0,63.5,,
,,332539.0,5.542969,330539.0,63.5,,
,,333539.0,6.144531,332539.0,63.4,,
,,335539.0,6.414062,333539.0,63.4,,
,,335539.0,6.082031,335539.0,63.4,,
,,337539.0,5.660156,335539.0,63.3,,
,,338539.0,5.660156,337539.0,63.3,,
,,338539.0,5.898438,338539.0,63.3,,
,,341539.0,5.835938,338539.0,63.3,,
,,342539.0,5.898438,341539.0,63.2,,
,,344539.0,5.742188,342539.0,63.2,,
,,345539.0,5.742188,344539.0,63.1,,
,,347539.0,5.96875,345539.0,63.1,,
,,348539.0,5.96875,347539.0,63.0,,
,,350539.0,6.007812,348539.0,63.0,,
,,351539.0,6.445312,350539.0,63.0,,
,,353539.0,5.992188,351539.0,62.9,,
,,353539.0,5.992188,353539.0,62.9,,
,,354539.0,5.992188,353539.0,62.9,,
,,356539.0,6.035156,354539.0,62.9,,
,,359539.0,5.980469,356539.0,62.8,,
,,359539.0,6.011719,359539.0,62.8,,
,,362539.0,5.914062,359539.0,62.7,,
