T_tick,T_val,H_tick,H_val,TH_tick,TH_val,Phase_tick,Phase_val
0.0,52.9,0.0,3.304688,0.0,77.8,0.0,Loading
13610.0,52.8,3000.0,3.253906,3000.0,77.6,15249.0,Prewash
14650.0,53.1,9620.0,3.435547,9620.0,77.4,187519.0,Disinfection (Temp/Time)
15249.0,53.1,12000.0,3.417969,12000.0,77.2,834219.0,Drying
33249.0,53.5,13610.0,3.417969,13610.0,77.2,1585259.0,Unloading
48249.0,53.0,14650.0,3.330078,14650.0,77.2,,
48249.0,52.8,15249.0,3.259766,15249.0,77.1,,
49249.0,51.6,22249.0,3.095703,22249.0,76.9,,
50249.0,50.3,27249.0,3.259766,27249.0,76.8,,
51249.0,49.6,33249.0,3.25,33249.0,76.6,,
55249.0,49.0,38249.0,3.226562,38249.0,76.4,,
56249.0,48.5,41249.0,3.240234,41249.0,76.3,,
57249.0,46.9,44249.0,3.291016,44249.0,76.2,,
57249.0,46.9,45249.0,4.605469,45249.0,76.1,,
58249.0,46.1,46249.0,4.25,46249.0,76.1,,
59249.0,44.7,47249.0,5.105469,47249.0,76.1,,
59249.0,44.7,48249.0,4.320312,48249.0,76.0,,
60249.0,43.1,48249.0,4.320312,48249.0,76.0,,
60249.0,43.1,49249.0,3.742188,49249.0,75.9,,
61249.0,42.4,50249.0,3.472656,50249.0,75.9,,
62249.0,41.3,51249.0,3.388672,51249.0,75.8,,
62249.0,41.3,52249.0,4.011719,52249.0,75.8,,
63249.0,40.3,53249.0,3.560547,53249.0,75.7,,
64249.0,39.1,54249.0,3.369141,54249.0,75.7,,
64249.0,39.1,55249.0,3.267578,55249.0,75.6,,
65249.0,37.6,56249.0,3.267578,56249.0,75.6,,
65249.0,37.6,57249.0,4.542969,57249.0,75.5,,
66249.0,36.7,58249.0,3.757812,58249.0,75.4,,
67249.0,36.0,59249.0,3.435547,59249.0,75.4,,
68249.0,34.9,60249.0,3.587891,60249.0,75.4,,
68249.0,34.9,61249.0,3.365234,61249.0,75.3,,
69249.0,34.1,62249.0,3.498047,62249.0,75.2,,
70249.0,33.2,63249.0,3.986328,63249.0,75.2,,
71249.0,32.5,64249.0,3.658203,64249.0,75.2,,
72249.0,31.8,65249.0,3.482422,65249.0,75.1,,
73249.0,31.3,66249.0,3.457031,66249.0,75.1,,
75249.0,30.8,67249.0,3.427734,67249.0,75.0,,
75249.0,30.7,68249.0,3.453125,68249.0,74.9,,
77249.0,30.2,69249.0,3.708984,69249.0,74.9,,
77249.0,30.2,70249.0,4.15625,70249.0,74.9,,
79249.0,29.6,71249.0,3.712891,71249.0,74.8,,
80249.0,29.6,72249.0,3.679688,72249.0,74.8,,
83249.0,29.0,73249.0,3.632812,73249.0,74.8,,
84249.0,28.9,75249.0,3.71875,75249.0,74.6,,
88249.0,28.4,75249.0,3.71875,75249.0,74.6,,
88249.0,28.4,77249.0,3.816406,77249.0,74.6,,
91249.0,27.9,77249.0,3.816406,77249.0,74.6,,
95249.0,27.4,78249.0,4.015625,78249.0,74.5,,
95249.0,27.3,79249.0,3.902344,79249.0,74.4,,
98510.0,27.0,80249.0,3.902344,80249.0,74.4,,
101510.0,26.4,81249.0,4.535156,81249.0,74.3,,
101510.0,26.4,82249.0,4.246094,82249.0,74.3,,
128519.0,26.6,83249.0,4.246094,83249.0,74.2,,
139519.0,27.1,84249.0,4.144531,84249.0,74.2,,
144519.0,27.7,87249.0,4.09375,87249.0,74.1,,
144519.0,27.8,88249.0,4.214844,88249.0,74.0,,
147519.0,28.3,88249.0,4.214844,88249.0,74.0,,
147519.0,28.3,91249.0,4.199219,91249.0,73.8,,
150519.0,28.8,91249.0,4.199219,91249.0,73.8,,
151519.0,28.9,94249.0,4.332031,94249.0,73.7,,
155519.0,29.4,95249.0,4.3125,95249.0,73.6,,
156519.0,29.5,95249.0,4.3125,95249.0,73.6,,
168519.0,30.0,96249.0,4.574219,96249.0,73.6,,
168519.0,30.0,98510.0,4.609375,98510.0,73.5,,
187419.0,30.1,101510.0,4.480469,101510.0,73.4,,
187519.0,30.1,101510.0,4.511719,101510.0,73.3,,
218519.0,29.6,101510.0,4.511719,101510.0,73.3,,
218519.0,29.4,104510.0,4.5,104510.0,73.1,,
219519.0,28.0,105510.0,4.730469,105510.0,73.1,,
219519.0,28.0,107510.0,5.035156,107510.0,73.1,,
220519.0,27.0,110510.0,5.167969,110510.0,72.9,,
220519.0,26.9,111510.0,4.824219,111510.0,72.8,,
222519.0,26.4,119510.0,5.074219,119510.0,72.4,,
222519.0,26.3,126510.0,5.039062,126510.0,72.1,,
224519.0,25.7,128519.0,5.027344,128519.0,72.1,,
224519.0,25.6,129519.0,6.199219,129519.0,72.0,,
225519.0,24.7,130519.0,6.785156,130519.0,71.9,,
226519.0,24.1,131519.0,5.042969,131519.0,71.9,,
227519.0,24.1,132519.0,4.269531,132519.0,71.9,,
228519.0,23.7,133519.0,3.964844,133519.0,71.8,,
229519.0,22.8,135679.0,3.759766,135679.0,71.7,,
230519.0,22.4,138519.0,3.8125,138519.0,71.5,,
231519.0,21.5,139519.0,3.851562,139519.0,71.4,,
233519.0,20.9,143519.0,3.859375,143519.0,71.2,,
233519.0,20.8,144519.0,3.859375,144519.0,71.2,,
234519.0,20.3,144519.0,3.853516,144519.0,71.2,,
