T_tick,T_val,H_tick,H_val,TH_tick,TH_val,Phase_tick,Phase_val
0.0,56.5,0.0,2.607422,0.0,74.3,0.0,Loading
8000.0,56.0,8000.0,2.677734,8000.0,74.0,14269.0,Prewash
11000.0,56.0,11000.0,2.707031,11000.0,73.9,193539.0,Disinfection (Temp/Time)
13810.0,55.9,13810.0,2.673828,13810.0,73.8,802039.0,Drying
14269.0,55.9,14269.0,2.632812,14269.0,73.8,1463080.0,Unloading
26269.0,55.4,26269.0,2.658203,26269.0,73.5,,
34269.0,55.3,34269.0,2.791016,34269.0,73.2,,
42269.0,54.8,40269.0,2.945312,40269.0,73.1,,
49269.0,54.3,42269.0,3.072266,42269.0,73.0,,
49269.0,54.1,49269.0,2.951172,49269.0,72.8,,
50269.0,52.1,49269.0,2.951172,49269.0,72.8,,
50269.0,52.1,50269.0,2.888672,50269.0,72.8,,
51269.0,50.8,51269.0,2.927734,51269.0,72.8,,
51269.0,50.8,52269.0,2.808594,52269.0,72.7,,
52269.0,49.9,55269.0,2.958984,55269.0,72.6,,
55269.0,49.4,55269.0,2.958984,55269.0,72.6,,
55269.0,49.4,55269.0,2.958984,55269.0,72.6,,
56269.0,47.2,56269.0,2.832031,56269.0,72.6,,
56269.0,47.2,57269.0,2.757812,57269.0,72.5,,
57269.0,45.5,58269.0,2.716797,58269.0,72.5,,
57269.0,45.5,59269.0,2.705078,59269.0,72.4,,
58269.0,44.5,60269.0,2.681641,60269.0,72.4,,
59269.0,42.7,61269.0,2.693359,61269.0,72.4,,
59269.0,42.7,62269.0,2.71875,62269.0,72.3,,
60269.0,41.7,63269.0,2.705078,63269.0,72.3,,
60269.0,41.7,64269.0,2.697266,64269.0,72.2,,
61269.0,40.4,65269.0,2.751953,65269.0,72.2,,
61269.0,40.4,66269.0,2.777344,66269.0,72.2,,
62269.0,39.2,67269.0,2.78125,67269.0,72.1,,
62269.0,39.2,68269.0,2.955078,68269.0,72.1,,
63269.0,38.0,69269.0,3.046875,69269.0,72.1,,
63269.0,38.0,70269.0,2.914062,70269.0,72.0,,
64269.0,36.7,71269.0,2.869141,71269.0,72.0,,
64269.0,36.7,71269.0,2.869141,71269.0,72.0,,
